parameter,level,value,spec_fail,gen_fail,delta_fail,spec_gini,gen_gini,delta_gini,spec_train,gen_train,spec_truth,gen_truth,robust
train_threshold,low,0.21,0.658,0.61,0.047,0.112,0.085,0.027,0.737,0.69,0.772,0.772,True
train_threshold,base,0.3,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
train_threshold,high,0.39,0.659,0.614,0.045,0.094,0.088,0.006,0.338,0.255,0.768,0.769,True
skill_gain_attempt,low,0.042,0.6,0.605,-0.005,0.125,0.076,0.048,0.656,0.538,0.771,0.772,False
skill_gain_attempt,base,0.06,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
skill_gain_attempt,high,0.078,0.617,0.591,0.026,0.11,0.089,0.021,0.658,0.556,0.772,0.772,True
skill_gain_train,low,0.056,0.656,0.609,0.047,0.089,0.088,0.001,0.591,0.437,0.772,0.772,True
skill_gain_train,base,0.08,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
skill_gain_train,high,0.104,0.569,0.563,0.006,0.126,0.087,0.039,0.599,0.453,0.769,0.769,True
cull_fraction,low,0.175,0.594,0.604,-0.01,0.111,0.087,0.024,0.658,0.504,0.772,0.771,False
cull_fraction,base,0.25,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
cull_fraction,high,0.325,0.577,0.593,-0.016,0.115,0.075,0.04,0.639,0.567,0.772,0.772,False
cap_growth_rate,low,0.0035,0.596,0.62,-0.024,0.107,0.086,0.02,0.641,0.564,0.71,0.711,False
cap_growth_rate,base,0.005,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
cap_growth_rate,high,0.0065,0.592,0.581,0.012,0.118,0.079,0.04,0.663,0.536,0.817,0.817,True
mutation_std,low,0.028,0.575,0.606,-0.031,0.116,0.088,0.028,0.673,0.567,0.772,0.771,False
mutation_std,base,0.04,0.594,0.608,-0.014,0.113,0.078,0.035,0.663,0.561,0.771,0.772,False
mutation_std,high,0.052,0.597,0.617,-0.019,0.121,0.081,0.04,0.669,0.595,0.772,0.772,False
