param,level,label,seed,fail_rate,gini,mean_reputation
alpha,0.05,PEAKED,0,0.6363636363636364,0.07234154007333671,15.704811470224787
alpha,0.05,PEAKED,1,0.5621890547263682,0.083180987202925,17.48527499496004
alpha,0.05,PEAKED,2,0.5743801652892562,0.05212314225053061,15.542918726636996
alpha,0.05,PEAKED,3,0.5812807881773399,0.06809815950920228,16.128640454222058
alpha,0.05,PEAKED,4,0.5637065637065637,0.0654471544715447,16.200356087523275
alpha,0.05,PEAKED,5,0.6088888888888889,0.04639830508474563,15.62037930088757
alpha,0.05,PEAKED,6,0.6236933797909407,0.0827268316351284,16.77691965479962
alpha,0.05,PEAKED,7,0.6461038961038961,0.04486383182035336,17.224326619896832
alpha,0.05,BROAD,0,0.686289697908598,0.06839594514013103,12.804455084047682
alpha,0.05,BROAD,1,0.6789895255699322,0.045684523809523814,10.14077202678581
alpha,0.05,BROAD,2,0.6517766497461929,0.03392751039809849,13.377973437925357
alpha,0.05,BROAD,3,0.6325088339222615,0.05484477892756345,16.961907895714184
alpha,0.05,BROAD,4,0.640495867768595,0.06311207834602817,14.469888993633043
alpha,0.05,BROAD,5,0.6911764705882353,0.05501285347043683,12.592527663013682
alpha,0.05,BROAD,6,0.6394628099173554,0.04603564843269803,12.764422296022344
alpha,0.05,BROAD,7,0.6555819477434679,0.05498281786941561,14.209826327568015
alpha,0.05,FLAT,0,0.7070866141732284,0.07724230254350717,5.239702583545716
alpha,0.05,FLAT,1,0.711837385412515,0.0477672530446549,4.756406881864384
alpha,0.05,FLAT,2,0.6834069907593411,0.1679790026246719,6.0064821240087065
alpha,0.05,FLAT,3,0.7195809830781628,0.051483870967741874,5.117087392071812
alpha,0.05,FLAT,4,0.7232625884311278,0.0251781472684085,6.326361961196117
alpha,0.05,FLAT,5,0.7024409143742736,0.0820163487738419,4.980873666013651
alpha,0.05,FLAT,6,0.7177990829512296,0.0526992287917738,5.774120712453988
alpha,0.05,FLAT,7,0.7179902755267423,0.03844121532364597,5.101315378633512
alpha,0.075,PEAKED,0,0.5380952380952381,0.0655795283492222,16.452686054094585
alpha,0.075,PEAKED,1,0.5551601423487544,0.06177474402730376,16.73714388558415
alpha,0.075,PEAKED,2,0.6438356164383562,0.05118186203569697,16.92365794396851
alpha,0.075,PEAKED,3,0.5865921787709497,0.06854571293225953,17.365117977958015
alpha,0.075,PEAKED,4,0.5513307984790875,0.08040293040293034,17.736706658166327
alpha,0.075,PEAKED,5,0.6231884057971014,0.06252505010020037,16.188197969209476
alpha,0.075,PEAKED,6,0.6127659574468085,0.06479514415781473,16.364248379999427
alpha,0.075,PEAKED,7,0.6065989847715736,0.08408779149519874,17.338265066333136
alpha,0.075,BROAD,0,0.6434923201293452,0.048676171079429675,11.724196557966627
alpha,0.075,BROAD,1,0.6666666666666666,0.07236322617033264,14.008755850761283
alpha,0.075,BROAD,2,0.6666666666666666,0.04752217005738113,15.413988291363696
alpha,0.075,BROAD,3,0.6091954022988506,0.05589519650655017,14.71589155914113
alpha,0.075,BROAD,4,0.6386404293381037,0.05907553551296507,14.383785958556995
alpha,0.075,BROAD,5,0.6534926470588235,0.049264190609670466,11.434673509704524
alpha,0.075,BROAD,6,0.6332574031890661,0.04418604651162772,16.25964971529891
alpha,0.075,BROAD,7,0.6569920844327177,0.05474667978357095,16.480545103674668
alpha,0.075,FLAT,0,0.7307080350039777,0.0708333333333333,4.71368316593401
alpha,0.075,FLAT,1,0.7200469851213782,0.037159253945480586,4.5114990087262585
