label,seed,winning_domain,winning_domain_mean_skill,init_lab_count_on_winner,labs_converged_on_winner,non_initial_labs,non_initial_converged,cosine_sim_mean,cosine_sim_std
PEAKED,0,9,0.46197343167138477,1,6,9,6,0.8963259157149239,0.06739332733494179
PEAKED,1,4,0.5626715595008455,4,3,6,1,0.9699227109797381,0.027953149403286647
PEAKED,2,6,0.5325453872659471,1,4,9,4,0.9362328967341187,0.039787009786661685
PEAKED,3,1,0.6284208349456532,2,8,8,6,0.9575554088140459,0.037187226561618006
PEAKED,4,5,0.5274843429800042,2,4,8,3,0.925321152194746,0.04690622375647156
PEAKED,5,1,0.5318512396334095,1,7,9,6,0.9281545614219154,0.04460602908422241
PEAKED,6,1,0.5740313322511501,2,3,8,2,0.9298947604738291,0.04441939699191007
PEAKED,7,8,0.6011190003147353,3,5,7,3,0.9605588349072687,0.024217007497766802
PEAKED,8,0,0.6396471368625706,2,10,8,8,0.9449381515819631,0.03658206012478222
PEAKED,9,1,0.6739505418928629,3,10,7,7,0.9885029915571996,0.007182175707246315
PEAKED,10,1,0.6233738701268338,2,9,8,7,0.9559024416161287,0.03876171334866906
PEAKED,11,2,0.5857110308232221,2,8,8,6,0.9528472151025746,0.03450653559752011
PEAKED,12,7,0.5507148253826191,1,6,9,5,0.9695823562407012,0.0281826144860948
PEAKED,13,6,0.5333047830818998,1,5,9,5,0.9301766914571691,0.03948177699479439
PEAKED,14,1,0.68750588879054,2,10,8,8,0.9814162503016731,0.0111034988103642
PEAKED,15,3,0.5592326235612411,1,10,9,9,0.9657567238910039,0.022001047732556223
PEAKED,16,7,0.51516794540747,1,4,9,4,0.9304250011558702,0.04750206582157574
PEAKED,17,6,0.6037229057896457,2,9,8,7,0.9733062211445204,0.015939400465040207
PEAKED,18,7,0.599852515411016,3,7,7,4,0.9687427389873613,0.02652210558380417
PEAKED,19,1,0.5931572970081112,2,9,8,7,0.9495835606813051,0.032370237517076114
PEAKED,20,1,0.54720771849688,1,7,9,7,0.9225463269482234,0.04552200579371969
PEAKED,21,8,0.6274767461379024,1,10,9,9,0.9645615388102146,0.0285415575484912
PEAKED,22,2,0.6115502298397287,2,8,8,6,0.9418344981289632,0.03627512390191585
PEAKED,23,1,0.5842451395413023,1,9,9,8,0.9346549516872744,0.047916672684400925
